Name,Category,Subcategory,Pricing floor (USD/mo),Pricing model,Integrations,Free tier,Aiprosol verdict,Gotchas,Verdict tier
Hex,Data,Notebook + BI,0,free / $24+/user/mo,30,Yes,Modern notebook+BI.,Newer.,
Sigma,Data,Spreadsheet BI,0,$300+/user/mo,30,No,Spreadsheet-style BI.,Pricing premium.,
Preset,Data,Managed Superset,0,free / $20+/seat/mo,30,Yes,Managed Apache Superset.,Smaller community.,
Obsidian,Productivity,Personal notes,0,free / $4+/mo sync,0,Yes,Best personal knowledge.,Sync requires paid.,
Roam Research,Productivity,Bi-directional notes,13.75,$13.75+/mo,0,No,Pioneering bi-directional.,Slower vs peers.,
Logseq,Productivity,Open-source bi-directional,0,free,0,Yes,Roam alternative.,Smaller community.,
Capacities,Productivity,Object-based notes,0,free / $10+/mo,30,Yes,Object-based knowledge.,Newer.,
Tana,Productivity,Smart Notion alt,0,$10-15+/mo,30,No,Modern bi-directional+DB.,Newer; pricing premium.,
Bear,Productivity,Markdown notes (Mac),0,free / $30/year,0,Yes,Best Mac note-taking.,Mac-only.,
Craft,Productivity,Doc + sketches,0,free / $10+/mo,30,Yes,Beautiful Mac/iOS docs.,Mac/iOS only.,
Anytype,Productivity,Local-first knowledge,0,free,0,Yes,Local-first Notion alt.,Newer.,
AppFlowy,Productivity,Open-source Notion,0,free,0,Yes,Open-source Notion clone.,Smaller feature set.,
Slite,Productivity,Team wiki,0,free / $8+/user/mo,30,Yes,Team wiki.,Smaller than Notion.,
GitBook,Productivity,Docs,0,free / $6.70+/user/mo,30,Yes,Best technical docs.,Niche.,
Outline,Productivity,Open-source team wiki,0,self-host / $10+/user/mo,30,Yes,Open-source wiki.,Smaller community.,
Appcues,Product adoption,User onboarding,0,$249+/mo,30,No,Industry default onboarding.,Pricing scales.,
UserGuiding,Product adoption,User onboarding,89,$89-249+/mo,20,No,Mid-market onboarding.,Less polished than Appcues.,
Intro.js,Product adoption,Open-source tours,0,free,0,Yes,Self-host product tours.,Setup overhead.,
Userpilot,Product adoption,Self-serve onboarding,249,$249+/mo,30,No,Onboarding + analytics.,Pricing scales.,
WalkMe,Product adoption,Enterprise DAP,0,enterprise,100,No,Enterprise digital adoption.,Heavy enterprise.,
Whatfix,Product adoption,Enterprise DAP,0,enterprise,100,No,Enterprise digital adoption.,Heavy enterprise.,
FullStory Stories,Product adoption,Targeting,0,with FullStory,30,No,Targeting within FullStory.,Tied to FullStory.,
Dust,Search/AI,Enterprise agents,0,$29+/user/mo,30,No,Modern AI assistants for teams.,Smaller community.,
Mendable,Search/AI,Docs-as-chatbot,0,free / $99+/mo,20,Yes,AI on your docs.,Niche.,
Custom GPT,Search/AI,Doc bots,0,$99+/mo,30,No,Custom GPT marketplace.,Niche.,
Stack AI,Search/AI,No-code AI builder,0,free / $199+/mo,30,Yes,Build AI apps no-code.,Niche.,
Voiceflow,Search/AI,Voice + chat agent builder,0,free / $50+/mo,30,Yes,Best for voice agents.,Niche.,
Botpress,Search/AI,Open-source chatbot,0,free / $25+/mo,50,Yes,Open-source bot builder.,Smaller community.,
Sana,Search/AI,Enterprise learning AI,0,enterprise,50,No,AI learning platform.,Enterprise.,
Slack,Communication,Team chat,0,free / $7.25+/user/mo,2500,Yes,Industry default.,Pricing rose post-Salesforce.,
Microsoft Teams,Communication,Team chat,0,with M365,1500,Yes,Best within MS ecosystem.,Less polished outside MS.,
Discord,Communication,Community chat,0,free / $9.99+/mo Nitro,500,Yes,Best community platform.,Less business-formal.,
Element,Communication,Open-source chat,0,self-host / $5+/user/mo,30,Yes,Open-source secure chat.,Smaller community.,
Mattermost,Communication,Open-source Slack,0,self-host / $10+/user/mo,100,Yes,Open-source Slack alt.,Smaller community.,
Rocket.Chat,Communication,Open-source chat,0,self-host / $4+/user/mo,100,Yes,Open-source chat.,Smaller community.,
Threads (Meta),Communication,Public conversation,0,free,0,Yes,Twitter alternative.,Algorithm changes.,
Bluesky,Communication,Decentralised social,0,free,0,Yes,ATproto-based social.,Smaller user base.,
Beeper,Communication,Multi-platform inbox,0,free / $10+/mo,0,Yes,Unified messaging.,Reliability variable.,
Texts.com,Communication,Multi-platform desktop,15,$15+/mo,0,No,Best Mac multi-messaging.,Mac-only.,
Zoom,Video conferencing,Industry default,0,free / $13.32+/user/mo,100,Yes,Industry default video.,Pricing rose post-pandemic.,
Google Meet,Video conferencing,Google ecosystem,0,with Workspace,30,Yes,Best for Google shops.,Less features than Zoom.,
Teams Video,Video conferencing,Microsoft,0,with M365,30,Yes,Best for MS shops.,Less polished than Zoom.,
Around,Video conferencing,Modern UI,0,free / $10+/user/mo,0,Yes,Compact UI for casual.,Niche.,
Whereby,Video conferencing,Browser-based,0,free / $7+/host/mo,30,Yes,Best browser-only video.,Lower scale.,
Zoom Phone,Video conferencing,VoIP,10,$10+/user/mo,30,No,Zoom's phone.,Tied to Zoom plan.,
Dialpad,Video conferencing,AI phone,15,$15+/user/mo,30,No,AI-driven phone.,Smaller community.,
Talkdesk,Video conferencing,Contact center,75,$75+/seat/mo,50,No,Enterprise contact center.,Enterprise.,
Toast,Vertical,Restaurant POS,0,$165+/mo per location,30,No,Industry default restaurant.,Hardware lock-in.,
Square,Vertical,Retail POS,0,free + interchange,50,Yes,Best small-business POS.,Hardware costs.,
Shopify POS,Vertical,Retail POS,0,with Shopify plan,100,No,Best for Shopify shops.,Tied to Shopify.,
Mindbody,Vertical,Wellness/fitness,129,$129+/mo,30,No,Industry default fitness biz.,Mid-market+.,
ChowNow,Vertical,Restaurant ordering,199,$199+/mo,20,No,Best independent restaurant ordering.,Niche.,
Procore,Vertical,Construction,0,enterprise,100,No,Industry default construction.,Enterprise.,
Clio,Vertical,Law firm management,49,$49+/user/mo,50,No,Industry default law.,Niche.,
Kareo,Vertical,Medical practice,0,$60+/provider/mo,30,No,SMB medical practice.,Niche.,
EHRYourWay,Vertical,Behavioral health,50,$50+/user/mo,30,No,Behavioral health EHR.,Niche.,
Frontify,Vertical,Brand management,0,$8K+/year,50,No,Enterprise brand portal.,Enterprise.,
Bynder,Vertical,DAM,0,enterprise,50,No,Digital asset management.,Enterprise.,
Brandfolder,Vertical,DAM,0,enterprise,50,No,DAM competitor.,Enterprise.,
Bland.ai,AI Voice Agents,Phone AI,0,$0.09+/min,0,Yes,Phone-call AI agent.,Niche.,
Retell AI,AI Voice Agents,Voice AI infra,0,$0.07-0.31/min,0,Yes,Voice AI building blocks.,Newer.,
Vapi,AI Voice Agents,Voice AI infra,0,$0.05+/min,0,Yes,Open-source voice AI.,Smaller community.,
Synthflow,AI Voice Agents,Voice + workflow,0,$29+/mo,0,Yes,Voice + automation.,Niche.,
1Password,Security,Password manager,2.99,$2.99+/user/mo,30,No,Industry default password manager.,Recent UI churn.,
Bitwarden,Security,Open-source password,0,free / $10+/year,30,Yes,Open-source password manager.,Less polished UI.,
Dashlane,Security,Password manager,4.99,$4.99+/user/mo,30,No,Enterprise password manager.,Less popular vs 1Password.,
LastPass,Security,Password manager,3,$3+/user/mo,30,No,Veteran password manager.,Multiple breaches.,
Tailscale,Security,Mesh VPN,0,free / $5+/user/mo,0,Yes,Best mesh VPN.,Niche.,
Cloudflare Zero Trust,Security,Zero-trust,0,free / $7+/user/mo,50,Yes,Zero-trust access.,Niche.,
Twingate,Security,Zero-trust,0,free / $5+/user/mo,30,Yes,Zero-trust competitor.,Newer.,
YubiKey (Yubico),Security,Hardware 2FA,50,$50+ one-time,0,No,Hardware security key.,One-time hardware cost.,
Tessian,Security,Email security AI,0,enterprise,30,No,AI-driven email security.,Enterprise.,
Abnormal Security,Security,Email security AI,0,enterprise,30,No,Email threat AI.,Enterprise.,
Computer Use (Anthropic),AI agents,Browser/computer agent,0,API,0,No,Claude that uses computers.,Beta; reliability variable.,
Operator (OpenAI),AI agents,Browser agent,200,$200/mo Pro,0,No,OpenAI's browser agent.,Pro plan only.,
Magentic-One,AI agents,Multi-agent OS,0,open source,0,Yes,Microsoft's multi-agent system.,Research-stage.,
Claude Computer Use,AI agents,Tool use,0,API,0,No,Anthropic's tool-use API.,Premium pricing.,
Google Project Mariner,AI agents,Browser agent,0,experimental,0,No,Google's browser agent.,Limited access.,
Convergence Proxy,AI agents,Browser agent,0,$25+/mo,0,Yes,Web automation agent.,Newer.,
Adept ACT-1,AI agents,Web actions,0,limited,0,No,Adept's web agent.,Acquired/restructured.,
Warp,Code generation,AI terminal,0,free / $15+/mo,0,Yes,AI-augmented terminal.,Mac/Linux.,
ChatGPT Code Interpreter,Code generation,Sandbox,20,$20/mo via ChatGPT Plus,0,No,Run code in chat.,Limited time per session.,
Lovable,Code generation,AI app builder,0,free / $20+/mo,0,Yes,Build full-stack from prompt.,Newer.,
Bolt.new,Code generation,Browser app builder,0,free / $20+/mo,0,Yes,AI builds + deploys.,Newer.,
v0 by Vercel,Code generation,UI builder,20,$20+/mo,0,No,React component generator.,React-only.,
Exa,Search/AI,Semantic search API,0,free / $20+/mo,0,Yes,Best AI-native search.,Newer.,
Tavily,Search/AI,Search API for AI,0,free / $30+/mo,0,Yes,Built for AI agent search.,Smaller index.,
Brave Search API,Search/AI,Privacy-friendly search,0,free / $3+/M queries,0,Yes,Independent search index.,Smaller than Google.,
You.com API,Search/AI,Multi-modal search,0,$2+/M queries,0,No,AI-augmented search.,Less popular.,
Phind Search,Search/AI,Developer search,0,free / $15+/mo,0,Yes,Programming-focused.,Niche.,
Andi Search,Search/AI,Conversational search,0,free,0,Yes,Bot-like search.,Smaller user base.,
Klaviyo AI,Marketing,E-com AI,0,with Klaviyo plan,0,No,AI within Klaviyo.,Tied to platform.,
Customer.io Journeys,Marketing,Behavioural,0,$100+/mo,50,No,Behavioural email.,Pricing premium.,
Iterable,Marketing,Cross-channel,0,enterprise,100,No,Cross-channel automation.,Enterprise pricing.,
Braze,Marketing,Cross-channel,0,enterprise,100,No,Enterprise customer engagement.,Heavy pricing.,
Insider,Marketing,Personalization,0,enterprise,50,No,Personalization platform.,Enterprise.,
Bloomreach,Marketing,Personalization,0,enterprise,30,No,E-commerce personalisation.,Enterprise.,
Mutiny,Marketing,B2B personalisation,0,enterprise,30,No,Website personalisation for B2B.,Enterprise.,
Dropbox,Storage,Cloud storage,9.99,$9.99+/user/mo,100,Yes,Veteran cloud storage.,Pricing premium.,
Google Drive,Storage,Cloud storage,0,with Workspace,100,Yes,Industry default for SMBs.,Pricing scales.,
OneDrive,Storage,Cloud storage,0,with M365,100,Yes,Best for MS shops.,Tied to M365.,
Box,Storage,Enterprise storage,0,$5+/user/mo,100,Yes,Enterprise file storage.,Less polished UX.,
MEGA,Storage,Privacy storage,0,free / €4.99+/mo,0,Yes,End-to-end encrypted.,Less business features.,
pCloud,Storage,Lifetime plans,0,free / €4.99+/mo,0,Yes,One-time lifetime plan available.,Less enterprise.,
Backblaze B2,Storage,Object storage,0,$5+/TB/mo,30,Yes,Cheapest object storage.,Less integration breadth.,
AWS S3,Storage,Object storage,0,usage-based,1000,Yes,Industry default object storage.,Bills surprise.,
Cloudflare R2,Storage,Object storage,0,$15+/TB/mo,30,Yes,S3-compat with no egress.,Newer.,
Wasabi,Storage,Object storage,0,$6.99/TB/mo,30,Yes,No-egress-fee S3 alt.,Smaller community.,
Pebblely,Image gen,Product photo gen,0,$19+/mo,0,Yes,AI product photography.,Niche.,
Booth.ai,Image gen,Studio photography,0,$99+/mo,0,No,AI fashion + product.,Pricing premium.,
Phygital+,Image gen,3D + animation,0,$19+/mo,0,Yes,3D + image gen.,Niche.,
Pika Labs Pro,Video gen,Animation,28,$28+/mo,0,No,Premium Pika tier.,Costs add up.,
Vidu AI,Video gen,Asian gen,0,credits,0,Yes,Strong text-to-video.,Asian-focused.,
Hedra Character-3,Video gen,Talking avatars,0,$10-50+/mo,0,Yes,AI talking avatars.,Newer.,
Eightfold AI,HR,Talent intelligence,0,enterprise,30,No,AI for talent decisions.,Enterprise.,
Plum,HR,Hiring assessment AI,0,$5+/applicant,30,No,Bias-reduced hiring.,Niche.,
Pymetrics,HR,Behavioural assessments,0,enterprise,30,No,Behavioural science hiring.,Enterprise.,
Modern Hire,HR,Video interviewing AI,0,enterprise,30,No,AI-scored interviews.,Controversial bias.,
HireVue,HR,Video interviewing AI,0,enterprise,30,No,AI video interviews.,Bias concerns.,
Phenom,HR,Talent CRM,0,enterprise,50,No,AI talent CRM.,Enterprise.,
Clay,CRM/Sales,Outbound + enrichment,149,$149+/mo,50,No,Workflow + enrichment.,Pricing premium.,
Apollo Conversations,CRM/Sales,Call recording AI,0,with Apollo,0,No,Apollo's gong.,Less polished than Gong.,
Avoma,CRM/Sales,Conversation intel,24,$24+/user/mo,30,No,Mid-market conv intel.,Below Gong.,
Aviso,CRM/Sales,Revenue intelligence,0,enterprise,30,No,AI revenue forecasting.,Enterprise.,
Crystal,CRM/Sales,Personality AI,0,$49+/mo,30,No,DISC personality predictions.,Niche.,
Tipalti,Finance,AP automation,0,$149+/mo,30,No,AP automation.,Pricing scales.,
Mosaic,Finance,Strategic finance,0,enterprise,30,No,AI finance platform.,Enterprise.,
Pigment,Finance,Modern FP&A,0,enterprise,30,No,Modern FP&A.,Enterprise.,
Cube,Finance,FP&A,0,enterprise,30,No,FP&A connecting Excel + DB.,Enterprise.,
Anaplan,Finance,Enterprise planning,0,enterprise,30,No,Connected planning.,Heavy enterprise.,
Celonis,Process mining,Enterprise,0,enterprise,100,No,Industry default process mining.,Enterprise.,
UiPath Process Mining,Process mining,with UiPath,0,enterprise,100,No,Within UiPath suite.,Enterprise.,
Soroco,Process mining,Work observation,0,enterprise,30,No,Records actual work patterns.,Enterprise.,
Owl Labs,Hardware,Meeting cameras,1099,$1099 one-time,0,No,360 meeting cameras.,Hardware cost.,
Neat,Hardware,Video bars,1500,$1500+ one-time,0,No,Premium meeting hardware.,Hardware cost.,
Logitech Rally,Hardware,Conference camera,1500,$1500+ one-time,0,No,Mid-market video.,Hardware cost.,
Spellbook,Legal,AI contract drafting,0,$99+/user/mo,10,No,AI contract drafting in Word.,Niche.,
EvenUp,Legal,Plaintiff law AI,0,enterprise,0,No,AI for personal injury.,Vertical-specific.,
DraftWise,Legal,Contract AI,0,enterprise,30,No,Contract assembly AI.,Enterprise.,
Segment,CDP,Industry default,0,free / $120+/mo,300,Yes,Twilio-owned CDP.,Pricing scales.,
RudderStack,CDP,Open source,0,free / $500+/mo,100,Yes,Open-source Segment alt.,Smaller community.,
PostHog CDP,CDP,Open source,0,with PostHog plan,30,Yes,PostHog's CDP capabilities.,Less mature than Segment.,
mParticle,CDP,Mobile-first CDP,0,enterprise,100,No,Mobile-focused CDP.,Enterprise.,
Tealium,CDP,Enterprise CDP,0,enterprise,200,No,Enterprise CDP veteran.,Heavy enterprise.,
Riverside.fm,Audio/Podcast,Studio recording,15,$15+/mo,0,Yes,Best remote podcast recording.,Niche.,
Squadcast,Audio/Podcast,Remote recording,0,$10+/mo,0,Yes,Riverside alternative.,Smaller community.,
Hindenburg,Audio/Podcast,Editing,95,$95 one-time,0,No,Podcast editing software.,One-time license.,
Auphonic,Audio/Podcast,Post-production AI,0,free / $11+/mo,0,Yes,Audio levelling + cleanup.,Niche.,
Adobe Podcast,Audio/Podcast,Voice enhancement,0,free / via CC,0,Yes,Best AI voice enhancement.,Tied to Adobe.,
Buzzsprout,Audio/Podcast,Podcast hosting,12,$12+/mo,30,No,Best podcast host.,Niche.,
Transistor,Audio/Podcast,Podcast hosting,19,$19+/mo,30,No,Modern podcast host.,Niche.,
Mailgun,Email,Transactional,0,$35+/mo,30,No,Developer email API.,Less popular than Resend.,
Postal,Email,Open source,0,self-host,0,Yes,Open-source email server.,Setup overhead.,
MXroute,Email,Email hosting,35,$35/year,0,No,Cheap email hosting.,Less enterprise.,
Fastmail,Email,Privacy email,5,$5+/user/mo,0,No,Privacy-focused email.,Less business-oriented.,
ProtonMail,Email,Encrypted email,0,free / $4+/user/mo,0,Yes,End-to-end encrypted.,Less business integration.,
Hey.com,Email,Opinionated email,99,$99/year,0,No,Designed-for-attention email.,Niche.,
Miro,Whiteboard,Industry default,0,free / $8+/user/mo,100,Yes,Industry default whiteboard.,Pricing rose.,
Mural,Whiteboard,Enterprise,0,free / $12+/user/mo,50,Yes,Mural's whiteboard.,Pricier than Miro.,
FigJam,Whiteboard,Figma's,0,with Figma plan,30,Yes,Best for design teams.,Tied to Figma.,
tldraw,Whiteboard,Open source,0,free,0,Yes,Open-source whiteboard.,Smaller community.,
Excalidraw,Whiteboard,Hand-drawn diagrams,0,free / $7+/user/mo plus,0,Yes,Best hand-drawn style.,Niche.,
Lucidchart,Diagram,Diagrams as code,0,free / $7.95+/user/mo,50,Yes,Best diagram suite.,Pricier than alternatives.,
Whimsical,Diagram,Flowcharts + sticky notes,0,free / $10+/user/mo,30,Yes,Modern diagram tool.,Smaller community.,
Mermaid Live,Diagram,Diagrams as code,0,free,0,Yes,Open-source diagram syntax.,Code-only.,
Typeform,Forms,Industry default,0,free / $25+/mo,100,Yes,Best UX for forms.,Pricing rose.,
Tally,Forms,Free Typeform alt,0,free / $29+/mo,30,Yes,Best free Typeform alt.,Smaller community.,
Jotform,Forms,Veteran forms,0,free / $34+/mo,50,Yes,Most features.,UX less polished.,
Google Forms,Forms,Free,0,free with Google,30,Yes,Industry default free.,Basic features.,
Microsoft Forms,Forms,Free for M365,0,with M365,30,No,Best for MS shops.,Tied to M365.,
SurveyMonkey,Forms,Surveys,0,free / $39+/mo,50,Yes,Industry default surveys.,Pricing premium.,
Hotjar Ask,Forms,Embedded surveys,0,with Hotjar,0,Yes,Within Hotjar.,Tied to Hotjar.,
Refiner,Forms,Customer surveys,0,$79+/mo,30,No,B2B customer surveys.,Niche.,
Sprig,Forms,Product surveys,0,free / $175+/mo,30,Yes,Product analytics + surveys.,Pricing scales.,
Hotjar Engage,Forms,User interviews,0,with Hotjar,0,No,Recruit users.,Tied to Hotjar.,
Huginn,No-code automation,Open source,0,self-host,30,Yes,Veteran open-source automation.,Smaller community.,
Apache Airflow,No-code automation,Code-based,0,open source,30,Yes,Industry default ETL/orchestration.,Steep learning curve.,
Dagster,No-code automation,Modern orchestration,0,open source / cloud,30,Yes,Modern Airflow alt.,Newer.,
Prefect,No-code automation,Modern orchestration,0,open source / cloud,30,Yes,Modern orchestration.,Smaller community.,
Apache NiFi,No-code automation,Data integration,0,open source,30,Yes,Enterprise data integration.,Heavy.,
Embedchain,Knowledge base,Open source RAG framework,0,open source,0,Yes,Easy RAG framework.,Less control.,
RAGFlow,Knowledge base,Open source RAG platform,0,open source,0,Yes,Full RAG platform.,Newer.,
LlamaParse,Knowledge base,Parsing,0,free / $0.01+/page,0,Yes,Best PDF parsing.,Pricing scales.,
Unstructured,Knowledge base,Document parsing,0,free / $0.01+/page,0,Yes,Comprehensive parsing.,Smaller community.,
Voyage AI Embeddings,Knowledge base,Embeddings,0,$0.06+/M tokens,0,Yes,Best non-OpenAI embeddings.,Newer.,
Cohere Embed,Knowledge base,Embeddings,0,$0.10+/M tokens,0,No,Cohere's embedding API.,Smaller ecosystem.,
Jina Embeddings,Knowledge base,Embeddings,0,$0.02+/M tokens,0,Yes,Open-source embeddings.,Newer.,
Helicone,AI observability,LLM observability,0,free / $25+/mo,0,Yes,Best for tracking LLM usage.,Newer.,
LangSmith,AI observability,LangChain native,0,free / $39+/user/mo,0,Yes,LangChain's observability.,Tied to LangChain.,
Arize,AI observability,ML observability,0,free / $200+/mo,30,Yes,ML and LLM observability.,Pricing scales.,
Phoenix (Arize),AI observability,Open source,0,open source,0,Yes,Arize's open-source.,Less polished UI.,
Lunary,AI observability,LLM analytics,0,free / $19+/mo,0,Yes,LLM analytics + prompts.,Smaller community.,
Langfuse,AI observability,Open source,0,open source / cloud,0,Yes,Open-source LLM observability.,Newer.,
Pezzo,AI observability,Open source,0,open source,0,Yes,Prompt management.,Niche.,
Traceloop,AI observability,OpenTelemetry-based,0,free / $50+/mo,0,Yes,Standard-based AI observability.,Newer.,
Less Annoying CRM,CRM/Sales,Tiny biz,15,$15+/user/mo,30,No,Best for solos.,Limited at scale.,
Capsule CRM,CRM/Sales,Lightweight,18,$18+/user/mo,50,No,Simple SMB CRM.,Less powerful.,
Insightly,CRM/Sales,Mid-market,29,$29+/user/mo,50,No,Mid-market CRM.,Below HubSpot.,
Copper,CRM/Sales,Google-native,23,$23+/user/mo,50,No,Inside Gmail.,Niche.,
Streak,CRM/Sales,Gmail-only CRM,0,free / $19+/user/mo,30,Yes,Inside Gmail.,Gmail-only.,
Nutshell,CRM/Sales,Affordable CRM,19,$19+/user/mo,50,No,Mid-market CRM.,Smaller community.,
